lema,frequencia
infância,8
dia,6
algum,5
memória,4
hoje,4
casa,4
amigo,4
junto,4
natal,3
haver,3
criança,3
era,3
especial,3
íamos,3
jogar,3
avó,3
durante,2
preferer,2
Páscoa,2
materno,2
pepino,2
avô,2
tradição,2
reviver,2
semana,2
bom,2
tinha,2
contacto,2
claro,2
gostar,2
mãe,2
entrevista,2
ser,2
brinquedo,2
férias,2
futebol,2
carinho,2
rotina,2
querer,2
inesquecível,2
marcar,2
sítio,1
descrever,1
Alexandre,1
palavra,1
usario,1
colega,1
saída,1
primeiro,1
mclaren,1
bola,1
comigo,1
levarar,1
lencinho,1
macaca,1
catequese,1
jogo,1
escondeesconde,1
jogávamos,1
várias,1
vida,1
adolescência,1
ter,1
crescir,1
freguesia,1
vivia,1
préadolescêncir,1
Juventude,1
atualmente,1
nino,1
fiz,1
viver,1
divertido,1
único,1
empolgante,1
achar,1
palavrachave,1
cresceste,1
jogávamo,1
nome,1
tshirt,1
vestuário,1
peça,1
específico,1
guardar,1
objeto,1
ti,1
primária,1
disciplina,1
inglês,1
casaco,1
evocar,1
experiência,1
escola,1
chuteira,1
compreender,1
vontade,1
sentir,1
filme,1
entender,1
lembraste,1
mantem,1
parque,1
juntávamo,1
adorar,1
apanhado,1
pontosponto,1
Carnaval,1
aniversário,1
brincadeira,1
festa,1
amizade,1
fim,1
passámos,1
outro,1
dormíar,1
crescemo,1
filho,1
amiga,1
história,1
disposto,1
passar,1
infantário,1
Portugal,1
sólido,1
acordar,1
diário,1
marcante,1
simples,1
ficar,1
lembr,1
domingo,1
tio,1
almoçar,1
familiar,1
pequeno,1
comemoramos,1
comida,1
constante,1
adoravo,1
detestavo,1
mantemo,1
rotino,1
mcdonalds,1
detestar,1
vegetal,1
pedir,1
consigo,1
comer,1
gordura,1
tirar,1
carne,1
quase,1
desejavo,1
médico,1
curar,1
diabete,1
paternar,1
favorito,1
percebi,1
cura,1
polícia,1
motivação,1
influenciar,1
série,1
americana,1
pudesses,1
escolheria,1
paterno,1
vivo,1
estar,1
mesmo,1
mesa,1
perfeito,1
hesitar,1
