palavra,lema,Polaridade,Subjetividade
entrevista,entrevista,0.0,0.0
colega,colega,0.0,0.0
alexandre,Alexandre,0.0,0.0
palavras,palavra,0.0,0.0
usarias,usario,0.0,0.0
descrever,descrever,0.0,0.0
infância,infância,0.0,0.0
divertida,divertido,0.0,0.0
única,único,0.0,0.0
empolgante,empolgante,0.0,0.0
inesquecível,inesquecível,0.0,0.0
acho,achar,0.0,0.0
inesquecível,inesquecível,0.0,0.0
palavrachave,palavrachave,0.0,0.0
cresceste,cresceste,0.0,0.0
sítio,sítio,0.0,0.0
vivias,vivia,0.0,0.0
cresci,crescir,0.0,0.0
freguesia,freguesia,0.0,0.0
vivo,viver,0.0,0.0
atualmente,atualmente,0.0,0.0
nino,nino,0.0,0.0
fiz,fiz,0.0,0.0
amigos,amigo,0.0,0.0
infância,infância,0.0,0.0
juventude,Juventude,0.0,0.0
amigos,amigo,0.0,0.0
vida,vida,0.0,0.0
memórias,memória,0.0,0.0
infância,infância,0.0,0.0
préadolescência,préadolescêncir,0.0,0.0
adolescência,adolescência,0.0,0.0
alguma,algum,0.0,0.0
memória,memória,0.0,0.0
especial,especial,0.0,0.0
infância,infância,0.0,0.0
tenha,ter,0.0,0.0
marcado,marcar,0.0,0.0
várias,várias,0.0,0.0
íamos,íamos,0.0,0.0
catequese,catequese,0.0,0.0
jogávamos,jogávamos,0.0,0.0
escondeesconde,escondeesconde,0.0,0.0
jogo,jogo,0.0,0.0
macaca,macaca,0.0,0.0
lencinho,lencinho,0.0,0.0
memórias,memória,0.0,0.0
levarei,levarar,0.0,0.0
comigo,comigo,0.0,0.0
jogar,jogar,0.0,0.0
bola,bola,0.0,0.0
mclaren,mclaren,0.0,0.0
primeiras,primeiro,0.0,0.0
saídas,saída,0.0,0.0
amigos,amigo,0.0,0.0
festas,festa,0.0,0.0
aniversário,aniversário,0.0,0.0
carnaval,Carnaval,0.0,0.0
natal,natal,0.0,0.0
páscoa,Páscoa,0.0,0.0
marcou,marcar,0.0,0.0
brincadeira,brincadeira,0.0,0.0
preferida,preferer,0.0,0.0
eras,era,0.0,0.0
criança,criança,0.0,0.0
adorava,adorar,0.0,0.0
jogar,jogar,0.0,0.0
apanhada,apanhado,0.0,0.0
pontospontos,pontosponto,0.0,0.0
juntávamos,juntávamo,0.0,0.0
fosse,ser,0.0,0.0
